Source,Target,Weight
庞统,孙乾,11
庞统,孔明,23
庞统,孙权,11
庞统,杨怀,38
庞统,刘封,21
庞统,黄忠,44
庞统,刘璋,55
庞统,魏延,60
庞统,曹操,29
庞统,周瑜,14
司马望,姜维,25
司马望,邓艾,31
蒋琬,马谡,17
蒋琬,杨仪,16
蒋琬,孟获,14
蒋琬,孔明,63
尹大目,曹爽,12
尹大目,司马懿,17
司马昭,曹髦,11
司马昭,马谡,13
司马昭,文钦,20
司马昭,孟达,14
司马昭,司马师,40
司马昭,诸葛,48
司马昭,廖化,13
司马昭,郭淮,18
司马昭,张翼,18
司马昭,孔明,12
司马昭,姜维,68
司马昭,邓艾,60
司马昭,太后,21
司马昭,夏侯霸,20
司马昭,贾充,47
司马昭,曹操,13
司马昭,司马懿,44
司马昭,司马,14
司马昭,王平,11
司马昭,徐质,17
宋宪,曹操,22
宋宪,侯成,46
宋宪,张飞,14
宋宪,魏续,44
宋宪,吕布,54
糜夫人,曹操,28
糜夫人,赵云,110
糜夫人,曹洪,24
糜夫人,张飞,13
曹植,许褚,15
曹植,曹操,40
曹植,曹丕,29
曹植,张飞,15
曹植,杨修,15
曹植,曹彰,14
张允,蔡夫人,11
张允,蔡瑁,28
张允,曹操,27
简雍,刘表,21
简雍,赵云,31
简雍,曹操,54
简雍,孔明,15
简雍,孙乾,37
简雍,高顺,13
简雍,糜芳,24
简雍,糜竺,41
简雍,袁绍,38
简雍,张飞,30
简雍,刘辟,12
简雍,吕布,11
太后,曹爽,12
太后,司马师,55
太后,司马昭,21
太后,诸葛,19
太后,唐妃,16
太后,杨仪,12
太后,董太后,15
太后,袁绍,24
太后,何太后,21
太后,司马孚,11
太后,曹操,20
太后,张让,20
太后,李儒,16
太史慈,刘繇,145
太史慈,程普,72
太史慈,曹操,32
太史慈,董袭,12
太史慈,张辽,95
太史慈,王朗,12
太史慈,李典,21
太史慈,薛礼,18
太史慈,陈武,25
太史慈,张昭,18
太史慈,陆逊,13
太史慈,周瑜,33
太史慈,白虎,24
太史慈,孙权,67
太史慈,张英,30
太史慈,黄盖,17
太史慈,孙策,258
太史慈,孔明,23
太史慈,宋谦,24
宋忠,伊籍,18
宋忠,曹操,24
张卫,杨昂,11
张卫,曹操,32
张卫,杨任,17
张卫,张飞,12
张卫,马超,21
张卫,夏侯渊,14
张卫,张鲁,29
张卫,庞德,20
韩浩,曹操,11
韩浩,赵云,19
韩浩,黄忠,35
韩浩,孔明,12
韩浩,李典,17
韩浩,夏侯尚,17
张南,赵云,23
张南,周瑜,24
张南,周泰,20
司马懿,曹芳,14
司马懿,马谡,59
司马懿,张嶷,46
司马懿,孟达,111
司马懿,陈泰,13
司马懿,司马师,46
司马懿,司马昭,44
司马懿,蒋济,15
司马懿,诸葛,13
司马懿,李辅,24
司马懿,朱桓,21
司马懿,廖化,25
司马懿,夏侯威,13
司马懿,张翼,31
司马懿,杨仪,13
司马懿,孔明,449
司马懿,尹大目,17
司马懿,张虎,31
司马懿,陆逊,16
司马懿,孙权,16
司马懿,邓贤,19
司马懿,贾逵,27
司马懿,姜维,57
司马懿,桓范,30
司马懿,徐晃,26
司马懿,夏侯霸,41
司马懿,戴陵,23
司马懿,高翔,54
司马懿,公孙渊,26
司马懿,曹真,68
司马懿,曹休,83
司马懿,魏延,73
司马懿,马忠,28
司马懿,孙礼,20
司马懿,全琮,15
司马懿,曹爽,67
司马懿,曹操,17
司马懿,郭淮,49
司马懿,赵云,16
司马懿,秦朗,91
司马懿,陈群,14
司马懿,司马,24
司马懿,王平,98
司马懿,周鲂,24
司马懿,张苞,12
司马懿,申耽,32
司马懿,何晏,16
司马懿,夏侯惠,13
王朗,尹赏,25
王朗,姜维,15
王朗,曹操,15
王朗,郭淮,18
王朗,袁术,16
王朗,孔明,55
王朗,严白虎,19
王朗,太史慈,12
王朗,白虎,47
王朗,孙权,11
王朗,孙策,97
王朗,梁绪,30
王朗,曹真,34
侯成,魏续,65
侯成,宋宪,46
侯成,夏侯渊,14
侯成,张辽,14
侯成,李典,11
侯成,曹操,29
侯成,高顺,22
侯成,吕布,58
