ID Label Weight
糜夫人 赵云 110
太史慈 刘繇 145
太史慈 孙策 258
司马懿 孟达 111
司马懿 孔明 449
曹洪 曹操 133
张嶷 孔明 216
孔明 郭淮 103
孔明 孙权 215
孔明 魏延 422
孔明 司马懿 449
孔明 张嶷 216
孔明 张飞 265
孔明 曹操 504
孔明 秦朗 117
孔明 马谡 128
孔明 马超 101
孔明 曹真 122
孔明 姜维 197
孔明 孟获 325
孔明 周瑜 279
孔明 张苞 102
孔明 鲁肃 263
孔明 黄忠 120
孔明 赵云 298
孔明 王平 312
邓艾 姜维 186
刘璋 马超 122
雷铜 张飞 136
曹操 庞德 218
曹操 孙权 412
曹操 袁绍 408
曹操 曹仁 143
曹操 曹洪 133
曹操 孙乾 118
曹操 孔明 504
曹操 陈宫 106
曹操 张飞 311
曹操 吕布 358
曹操 刘表 218
曹操 马超 349
曹操 许褚 273
曹操 吕蒙 107
曹操 黄盖 105
曹操 李典 105
曹操 周瑜 237
曹操 鲁肃 180
曹操 袁术 135
曹操 张辽 231
曹操 许昌 179
曹操 韩遂 135
曹操 张鲁 135
曹操 徐晃 234
曹操 马腾 133
曹操 夏侯渊 185
曹操 程昱 107
曹操 赵云 206
曹操 孙策 124
郭淮 孔明 103
刘表 曹操 218
马谡 孔明 128
马超 张鲁 124
马超 孔明 101
马超 韩遂 339
马超 庞德 219
马超 许褚 129
马超 刘璋 122
马超 张飞 455
马超 魏延 107
马超 曹操 349
朱桓 曹休 115
姜维 孔明 197
姜维 邓艾 186
孟获 孔明 325
吕蒙 孙权 168
吕蒙 曹操 107
黄盖 曹操 105
孟达 司马懿 111
高顺 吕布 117
张任 吴懿 144
张任 黄忠 133
张任 张飞 221
张任 魏延 126
马腾 曹操 133
曹真 孔明 122
夏侯渊 黄忠 137
夏侯渊 曹操 185
庞德 马超 219
庞德 张鲁 116
庞德 韩遂 111
庞德 曹操 218
吴懿 张任 144
吴懿 张飞 111
曹仁 曹操 143
曹仁 周瑜 164
曹休 朱桓 115
曹休 贾逵 144
曹休 周鲂 130
贾逵 曹休 144
许褚 马超 129
许褚 曹操 273
邓芝 赵云 143
周瑜 鲁肃 186
周瑜 孔明 279
周瑜 孙权 111
周瑜 曹仁 164
周瑜 程普 157
周瑜 曹操 237
黄忠 孔明 120
黄忠 张任 133
黄忠 张飞 120
黄忠 夏侯渊 137
黄忠 魏延 194
黄忠 赵云 137
王平 孔明 312
董卓 吕布 244
孙权 吕蒙 168
孙权 张辽 210
孙权 孔明 215
孙权 曹操 412
孙权 周瑜 111
孙权 鲁肃 111
袁绍 曹操 408
陈宫 曹操 106
陈宫 吕布 176
白虎 孙策 103
张鲁 马超 124
张鲁 庞德 116
张鲁 曹操 135
张飞 严颜 236
张飞 孔明 265
张飞 吴懿 111
张飞 魏延 327
张飞 马超 455
张飞 张任 221
张飞 雷铜 136
张飞 曹操 311
张飞 黄忠 120
张飞 赵云 151
张飞 吕布 205
吕布 董卓 244
吕布 袁术 162
吕布 高顺 117
吕布 陈宫 176
吕布 张飞 205
吕布 曹操 358
张苞 孔明 102
严颜 张飞 236
袁术 曹操 135
袁术 吕布 162
张辽 孙权 210
张辽 曹操 231
张辽 李典 117
秦朗 孔明 117
许昌 曹操 179
孙策 刘繇 190
孙策 太史慈 258
孙策 白虎 103
孙策 曹操 124
周鲂 曹休 130
魏延 马超 107
魏延 孔明 422
魏延 张任 126
魏延 黄忠 194
魏延 张飞 327
魏延 赵云 106
刘繇 太史慈 145
刘繇 孙策 190
孙乾 曹操 118
程昱 曹操 107
李典 张辽 117
李典 曹操 105
鲁肃 孔明 263
鲁肃 孙权 111
鲁肃 曹操 180
鲁肃 周瑜 186
韩遂 曹操 135
韩遂 庞德 111
韩遂 马超 339
徐晃 曹操 234
程普 周瑜 157
赵云 邓芝 143
赵云 孔明 298
赵云 糜夫人 110
赵云 黄忠 137
赵云 张飞 151
赵云 魏延 106
赵云 曹操 206
